,n_req,timestamp,stations
211,27,2011-01-03,8
212,451,2011-01-03,24
213,242,2011-01-03,25
214,2030,2011-01-03,26
215,186,2011-01-03,34
216,279,2011-01-03,35
217,533,2011-01-03,39
218,1852,2011-01-03,47
219,117,2011-01-03,55
220,329,2012-01-03,3
221,21,2012-01-03,8
222,550,2012-01-03,24
223,247,2012-01-03,25
224,2505,2012-01-03,26
225,162,2012-01-03,34
226,209,2012-01-03,35
227,591,2012-01-03,39
228,2115,2012-01-03,47
229,119,2012-01-03,55
230,265,2013-01-03,3
231,19,2013-01-03,8
232,413,2013-01-03,24
233,264,2013-01-03,25
234,2083,2013-01-03,26
235,210,2013-01-03,34
236,269,2013-01-03,35
237,591,2013-01-03,39
238,1923,2013-01-03,47
239,99,2013-01-03,55
240,160,2014-01-03,3
241,16,2014-01-03,8
242,451,2014-01-03,24
243,185,2014-01-03,25
244,2123,2014-01-03,26
245,169,2014-01-03,34
246,231,2014-01-03,35
247,658,2014-01-03,39
248,1873,2014-01-03,47
249,77,2014-01-03,55
250,137,2015-01-03,3
251,16,2015-01-03,8
252,244,2015-01-03,24
253,233,2015-01-03,25
254,1446,2015-01-03,26
255,197,2015-01-03,34
256,239,2015-01-03,35
257,387,2015-01-03,39
258,1073,2015-01-03,47
259,53,2015-01-03,55
260,157,2016-01-03,3
261,31,2016-01-03,8
262,270,2016-01-03,24
263,183,2016-01-03,25
264,1727,2016-01-03,26
265,152,2016-01-03,34
266,221,2016-01-03,35
267,443,2016-01-03,39
268,1366,2016-01-03,47
269,57,2016-01-03,55
270,344,2017-01-03,3
271,36,2017-01-03,8
272,464,2017-01-03,24
273,297,2017-01-03,25
274,2294,2017-01-03,26
275,226,2017-01-03,34
276,334,2017-01-03,35
277,527,2017-01-03,39
278,1701,2017-01-03,47
279,104,2017-01-03,55
280,381,2018-01-03,3
281,44,2018-01-03,8
282,643,2018-01-03,24
283,312,2018-01-03,25
284,3189,2018-01-03,26
285,295,2018-01-03,34
286,490,2018-01-03,35
287,881,2018-01-03,39
288,2587,2018-01-03,47
289,163,2018-01-03,55
290,469,2019-01-03,3
291,42,2019-01-03,8
292,557,2019-01-03,24
293,376,2019-01-03,25
294,2360,2019-01-03,26
295,292,2019-01-03,34
296,375,2019-01-03,35
297,530,2019-01-03,39
298,2185,2019-01-03,47
299,167,2019-01-03,55
